epochs	scratch with reconstruction	scratch without reconstruction	reconstruction + freezed cross-entropy + unfreezed cross-entropy
1	0.71972	0.75566	0.84634
2	0.73409	0.77114	0.85106
3	0.74587	0.79020	0.85618
4	0.75644	0.80228	0.85052
5	0.77466	0.76917	0.85424
6	0.77775	0.80196	0.84997
7	0.77898	0.80733	0.84974
8	0.78960	0.80872	0.84115
9	0.79646	0.80194	
10	0.79392	0.79096	
11	0.79940	0.81058	
12	0.79706		
13	0.80938		
14	0.81682		
15	0.82037		
16	0.82093		
17	0.82195		
18	0.82868		
19	0.83029		
20	0.82757		
21	0.83223		
22	0.83615		
23	0.83527		
24	0.83659		
25	0.84085		
26	0.83658		
27	0.84188		
28	0.83942		
29	0.83792		
30	0.83997		
31	0.83883		
32	0.84195		
33	0.84197		
34	0.83991		
35	0.84267		
36	0.84224		
37	0.84198		
38	0.84192		
39	0.84281		
40	0.84512		
41	0.84112		
42	0.84577		
43	0.84399		
44	0.84176		
45	0.84394		
46	0.84367		
47	0.84374		
48	0.84443		
49	0.84758		
50	0.84251		
51	0.84719		
52	0.84269		
53	0.84218		
54	0.84078		
55	0.84477		
56	0.84398		
57	0.84662		
58	0.84562		
59	0.84279		
60	0.84726		
61	0.84660		
62	0.84736		
63	0.84845		
64	0.84627		
65	0.84754		
66	0.84415		
67	0.84487		
68	0.84643		
69	0.84856		
70	0.84708		
71	0.84804		
72	0.84959		
73	0.84815		
74	0.84891		
75	0.84881		
76	0.84885		
77	0.84846		
78	0.84923		
79	0.84646		
80	0.84810		
81	0.84607		
82	0.84892		
83	0.84864		
84	0.84567		
85	0.84745		
86	0.84799		
87	0.84828		
88	0.84985		
89	0.84719		
90	0.84621		
91	0.84906		
92	0.84929		
93	0.84798		
94	0.85019		
95	0.84880		
96	0.84818		
97	0.84847		
98	0.84931		
99	0.84721		
100	0.85005		
101	0.85075		
102	0.85041		
103	0.84963		
104	0.84888		
105	0.84866		
106	0.85126		
107	0.84993		
108	0.85039		
109	0.84946		
110	0.84929		
111	0.85007		
112	0.84937		
113	0.85037		
114	0.85026		
